"section","official_title","source_url","source_hash","affected_ids","named_candidates","legal_questions","technical_blockers","decision","exact_subdivisions","reviewer_note"
"2903.02","Murder","https://codes.ohio.gov/ohio-revised-code/section-2903.02","7d59b3044eafc9f0ce7a7621fdd1cece55e244ab9a2780daa6189ff17eb36f2b","oh-murder-in-the-second-degree; oh-felony-murder; oh-orc-2903-02-murder","murder","Resolve oh-murder-in-the-second-degree, oh-felony-murder: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2903.03, 2903.04. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2903.03","Voluntary manslaughter","https://codes.ohio.gov/ohio-revised-code/section-2903.03","e36bd07ee457ba2c40cccce0e4c1751513f486861120e3a2473ee9c196304c8c","oh-voluntary-manslaughter; oh-orc-2903-03-voluntary-manslaughter","voluntary manslaughter","Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2903.04","Involuntary manslaughter","https://codes.ohio.gov/ohio-revised-code/section-2903.04","e063106ce2eae8f58ae685c39eff5779324855759962b7cae49019a78f7c00b8","oh-involuntary-manslaughter; oh-orc-2903-04-involuntary-manslaughter","involuntary manslaughter","Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 4511.19, 4510.02. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2903.05","Negligent homicide","https://codes.ohio.gov/ohio-revised-code/section-2903.05","6941264ad0ab8c204d39b5016731f1aa1c704888a29ea704911dc0d5b8117b8f","oh-criminally-negligent-homicide; oh-orc-2903-05-negligent-homicide","negligent homicide","Resolve oh-criminally-negligent-homicide: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2903.06","Aggravated vehicular homicide - vehicular homicide - vehicular manslaughter","https://codes.ohio.gov/ohio-revised-code/section-2903.06","3bcd8830c6a1af4f7231a8d719805a027174d94ae9100bb2b90653efda8e0db1","oh-vehicular-homicide; ohio-section-2903.06","aggravated vehicular homicide; vehicular homicide; vehicular manslaughter","Confirm each quoted statutory offense's conduct subdivisions and applicable grading branches. Do not turn sentencing enhancements into separate offenses.
Determine which additional textual references affect this charge's claims: 4510.02, 4510.54, 2929.18, 2903.08, 2903.081, 2903.04, 2903.07, 4511.20, 4511.21, 2903.01, 2903.02, 2903.11, 2923.02, 4511.19, 1547.11, 4561.15. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 5501.27 needs source acquisition","","",""
"2903.08","Aggravated vehicular assault; vehicular assault","https://codes.ohio.gov/ohio-revised-code/section-2903.08","2ad96ed8c8e8b3270c920ea0afd4ca363634219e6d4c6ce813cda952517f49fa","oh-reckless-driving-criminal; ohio-section-2903.08","aggravated vehicular assault; vehicular assault","Resolve oh-reckless-driving-criminal: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm each quoted statutory offense's conduct subdivisions and applicable grading branches. Do not turn sentencing enhancements into separate offenses.
Determine which additional textual references affect this charge's claims: 4511.19, 1547.11, 4561.15, 4510.02, 4549.02, 4549.021, 4549.03, 2929.24, 2903.081. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 5501.27 needs source acquisition","","",""
"2903.11","Felonious assault","https://codes.ohio.gov/ohio-revised-code/section-2903.11","33bf447290ec7aa5faedc29abdb637402bc4e4c8c18a315514f1d84f5a8d1c01","oh-assault-with-deadly-weapon; oh-assault-on-peace-officer; oh-orc-2903-11-felonious-assault","felonious assault","Resolve oh-assault-with-deadly-weapon, oh-assault-on-peace-officer: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2907.02, 4510.02, 1.52. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2903.12","Aggravated assault","https://codes.ohio.gov/ohio-revised-code/section-2903.12","520680c85587dac6fb8786fdbfa7d5833e0ffb602d167ff27f668c91046a37b0","oh-aggravated-assault; oh-orc-2903-12-aggravated-assault","aggravated assault","Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2903.13","Assault","https://codes.ohio.gov/ohio-revised-code/section-2903.13","040456959beff0885577c0a63334b9480a886ebc5bd37f47360647377ad486b1","oh-assault-on-peace-officer; oh-assault-simple; ohio-section-2903.13","assault","Resolve oh-assault-on-peace-officer, oh-assault-simple: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2903.16, 2903.22, 2941.25, 341.23, 753.21, 3311.77, 3319.08, 3319.22, 3319.311, 3301.07, 3301.071, 2967.27, 2903.01, 2903.02, 2903.03, 2903.04, 2903.041, 2903.12, 2903.14, 3701.01, 4723.32. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 3727.01 needs source acquisition","","",""
"2903.16","Failing to provide for a functionally impaired person","https://codes.ohio.gov/ohio-revised-code/section-2903.16","2c1888663a284724d9fa2e0fcdf51b9165da0bba40a899a85ef1df5879fddd4e","ohio-section-2903.16","knowingly failing to provide for a person with a functional impairment; recklessly failing to provide for a person with a functional impairment","Confirm each quoted statutory offense's conduct subdivisions and applicable grading branches. Do not turn sentencing enhancements into separate offenses.","","","",""
"2903.211","Menacing by stalking","https://codes.ohio.gov/ohio-revised-code/section-2903.211","6740e0adc1febba86806f378900631708e09d2cc21c3489ac1a7dbb44dfa4ac9","oh-harassment; ohio-section-2903.211","menacing by stalking","Resolve oh-harassment: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2911.211, 2903.213, 2903.214, 2919.271. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2903.216","Illegal use of a tracking device or application","https://codes.ohio.gov/ohio-revised-code/section-2903.216","ccf718c4688e38f196c3c2f36374bcf277e9b565d992a75b37ee09c1358f6f2e","ohio-section-2903.216","illegal use of a tracking device or application","Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2919.26, 3113.31, 2151.34, 2903.213, 2903.214, 2929.20, 2967.28, 2967.26, 2951.041, 4749.03, 2903.211. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 4749.01 needs source acquisition","","",""
"2903.22","Menacing","https://codes.ohio.gov/ohio-revised-code/section-2903.22","ea58e11d6582e597bbc42a83fd27713cc4dc0a71e9c81fd201fc467a60876c32","oh-menacing; ohio-section-2903.22","menacing","Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2941.25. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2903.341","Patient endangerment","https://codes.ohio.gov/ohio-revised-code/section-2903.341","41ac7152196cb537b18d3d41214e25b5f70465c591880cbc90d83426767d3bf0","ohio-section-2903.341","patient endangerment","Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","Selected reference 5123.01 needs source acquisition
Selected reference 5123.50 needs source acquisition","","",""
"2903.43","Offenders who have VOD duties; enrollment","https://codes.ohio.gov/ohio-revised-code/section-2903.43","95b4424628ff239b2315cf626d15b32ed0211824fbd569cebe632ab3e1e500f7","ohio-section-2903.43","","Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 149.43. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2907.02","Rape","https://codes.ohio.gov/ohio-revised-code/section-2907.02","4f2f42e81c1486a001be29c1fb02e32a868cdf0f80db6c19d8d345f9139ad200","oh-rape-in-the-first-degree; oh-attempted-sexual-assault","rape","Resolve oh-attempted-sexual-assault: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2945.59, 1.52. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2907.03","Sexual battery","https://codes.ohio.gov/ohio-revised-code/section-2907.03","ac507241723772a27d32187583241bb02fa9508780b6106f3fbed225793845f1","oh-sexual-assault-in-the-second-degree","sexual battery","Resolve oh-sexual-assault-in-the-second-degree: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 3301.07, 3345.011, 1.52. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2907.04","Unlawful sexual conduct with minor","https://codes.ohio.gov/ohio-revised-code/section-2907.04","99e1cad558c1fcb9d586d54adbdf2ce62adc392aba0bfdfaa3d2f66e08a18dae","oh-statutory-rape","unlawful sexual conduct with a minor","Resolve oh-statutory-rape: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2907.02, 2907.03, 2907.12. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2907.05","Gross sexual imposition","https://codes.ohio.gov/ohio-revised-code/section-2907.05","fe219e4d25e9b16dac6493c692a9e2efbd930ef839776c3a021ce02315d59047","oh-sexual-assault-in-the-third-degree; oh-child-sexual-abuse","gross sexual imposition","Resolve oh-child-sexual-abuse: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2945.59. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2907.09","Public indecency","https://codes.ohio.gov/ohio-revised-code/section-2907.09","836ea221be8b7ec32692b66c3532a210dff7bcb9c3eece5ceb0fa855647a62da","oh-indecent-exposure","public indecency","Resolve oh-indecent-exposure: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2907.24","Soliciting; solicitation after a positive HIV test","https://codes.ohio.gov/ohio-revised-code/section-2907.24","a082e8cc82da24c7b8fe18ddb1545eec48c49530afe5fc1190e8e36f6450f056","oh-solicitation","soliciting; engaging in solicitation after a positive HIV test","Resolve oh-solicitation: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm each quoted statutory offense's conduct subdivisions and applicable grading branches. Do not turn sentencing enhancements into separate offenses.","","","",""
"2907.25","Prostitution - after positive HIV test","https://codes.ohio.gov/ohio-revised-code/section-2907.25","7f344a172cb5d75896b6a6050807c381d688cf2c4f767aff92a8545fb72cc674","oh-solicitation","prostitution; engaging in prostitution after a positive HIV test","Resolve oh-solicitation: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm each quoted statutory offense's conduct subdivisions and applicable grading branches. Do not turn sentencing enhancements into separate offenses.","","","",""
"2907.321","Pandering obscenity involving a minor or impaired person","https://codes.ohio.gov/ohio-revised-code/section-2907.321","760cf7c78abd22c74960f8a25b01239a58b9740104e90e99791e48ab30e6551d","oh-sexual-exploitation-of-minor","pandering obscenity involving a minor or impaired person","Resolve oh-sexual-exploitation-of-minor: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2907.322, 2907.323. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2909.06","Criminal damaging or endangering","https://codes.ohio.gov/ohio-revised-code/section-2909.06","b64a0c038af16a99c8c9c5148d7c969a3ad160dfdb4c0b9e56b537c09c7e6ba4","oh-criminal-damaging","criminal damaging or endangering","Resolve oh-criminal-damaging: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2911.01","Aggravated robbery","https://codes.ohio.gov/ohio-revised-code/section-2911.01","681dbe9ed8dc80ea2c234c4bf9da9c1a59c4fa1af569ea2e8889083aebcdf758","oh-robbery-in-the-first-degree; oh-carjacking; oh-bank-robbery","aggravated robbery","Resolve oh-carjacking, oh-bank-robbery: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2911.02","Robbery","https://codes.ohio.gov/ohio-revised-code/section-2911.02","932ac78b0bc5ec91502b00ce2985983ff03da054115b62af2439c9b166db0672","oh-robbery-in-the-second-degree; oh-carjacking; oh-attempted-robbery","robbery","Resolve oh-carjacking, oh-attempted-robbery: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2911.11","Aggravated burglary","https://codes.ohio.gov/ohio-revised-code/section-2911.11","9f71682aadb869016eb39dd1047249ef5a7be8c0aab28fc6a1ea7cce5a3615f6","oh-burglary-in-the-first-degree","aggravated burglary","Resolve oh-burglary-in-the-first-degree: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2911.12","Burglary","https://codes.ohio.gov/ohio-revised-code/section-2911.12","5090ce0bb721a4ccd0ef8f4dfeb98216abfcef4810b70292858aa8be7cb7ee56","oh-residential-burglary; oh-commercial-burglary","burglary; trespass in a habitation when a person is present or likely to be present","Resolve oh-residential-burglary, oh-commercial-burglary: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm each quoted statutory offense's conduct subdivisions and applicable grading branches. Do not turn sentencing enhancements into separate offenses.","","","",""
"2911.13","Breaking and entering","https://codes.ohio.gov/ohio-revised-code/section-2911.13","49083e92a8d2029c8a4b5fdbdeeb0ea4a87d85e3b0de3b02bf115111cfe46290","oh-auto-burglary","breaking and entering","Resolve oh-auto-burglary: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2911.21","Criminal trespass","https://codes.ohio.gov/ohio-revised-code/section-2911.21","d987f0479cefd5ba9a2241ecbd712d0fb452bbf1bec9f98a0e57dbe476823526","oh-criminal-trespass; oh-illegal-camping; oh-trespass-after-warning","criminal trespass","Resolve oh-illegal-camping, oh-trespass-after-warning: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2929.28, 4519.47, 4519.11, 4905.02. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 4928.01 needs source acquisition","","",""
"2913.02","Theft","https://codes.ohio.gov/ohio-revised-code/section-2913.02","f86873d5326c0f2efe8e36fe7ab5804932cf7ffd9fc55b4e0eb3ee351882d614","oh-petty-theft; oh-identity-theft; oh-embezzlement; oh-shoplifting; oh-auto-burglary; oh-wire-fraud; oh-mail-fraud","theft","Resolve oh-petty-theft, oh-identity-theft, oh-embezzlement, oh-shoplifting, oh-auto-burglary, oh-wire-fraud, oh-mail-fraud: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2913.71, 5101.61, 5101.71, 4510.02. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 4737.012 needs source acquisition
Selected reference 4737.04 needs source acquisition","","",""
"2913.04","Unauthorized use of property - computer, cable, or telecommunication property","https://codes.ohio.gov/ohio-revised-code/section-2913.04","d5ae4b2c3eb945fac7fbf597c0daa8b5417cfa1a6075fe4871c95b7c062cecf1","oh-computer-fraud","unauthorized use of property; unauthorized use of computer; unauthorized use of the law enforcement automated database system; unauthorized use of the Ohio law enforcement gateway","Resolve oh-computer-fraud: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm each quoted statutory offense's conduct subdivisions and applicable grading branches. Do not turn sentencing enhancements into separate offenses.
Determine which additional textual references affect this charge's claims: 5503.101, 5503.10, 109.57, 2913.03. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2913.11","Passing bad checks","https://codes.ohio.gov/ohio-revised-code/section-2913.11","bb91b13178b8d5e6a4eeb15ef7bf5e5b9b595048f8300943208266b5f0ef6ccb","oh-check-fraud","passing bad checks","Resolve oh-check-fraud: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2913.21","Misuse of credit cards","https://codes.ohio.gov/ohio-revised-code/section-2913.21","1515d9b54d6439c35de2bdb4e598cf77d94d410fd4ea105c5cdcc95a8505c676","oh-credit-card-fraud","misuse of credit cards","Resolve oh-credit-card-fraud: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2921.01, 1.52. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 5101.61 needs source acquisition
Selected reference 5101.71 needs source acquisition","","",""
"2913.31","Forgery - Forging identification cards or selling or distributing forged identification cards","https://codes.ohio.gov/ohio-revised-code/section-2913.31","d53397b91af4c872a1890563dba60a7d6a83932174a35fe2d5bfc546ed1400a0","oh-forgery; oh-fake-id","forgery; forging identification cards or selling or distributing forged identification cards","Resolve oh-fake-id: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm each quoted statutory offense's conduct subdivisions and applicable grading branches. Do not turn sentencing enhancements into separate offenses.","Selected reference 5101.61 needs source acquisition
Selected reference 5101.71 needs source acquisition","","",""
"2913.49","Identity fraud","https://codes.ohio.gov/ohio-revised-code/section-2913.49","59545088a699505f09d794da47ba021da60c249b4c43274ae1d682ab016647c8","oh-identity-theft","identity fraud","Resolve oh-identity-theft: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2913.02, 2913.04, 2913.11, 2913.21, 2913.31, 2913.42, 2913.43, 2921.13, 5101.61, 5101.71. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2913.51","Receiving stolen property","https://codes.ohio.gov/ohio-revised-code/section-2913.51","ba8001068d9e3f6bc51149aa32b2dff709d34ea3a2a7e7683e8317853bef2ac6","oh-theft-by-receiving","receiving stolen property","Resolve oh-theft-by-receiving: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","Selected reference 4737.012 needs source acquisition
Selected reference 4737.04 needs source acquisition","","",""
"2917.11","Disorderly conduct","https://codes.ohio.gov/ohio-revised-code/section-2917.11","1ba0a7b235ba6136b0e05e075f030cee20fb0e8755c11320ac0621992bd4f948","oh-disorderly-conduct; oh-public-intoxication; oh-loitering; oh-noise-violation; oh-panhandling","disorderly conduct","Resolve oh-public-intoxication, oh-loitering, oh-noise-violation, oh-panhandling: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
"2917.12","Disturbing a lawful meeting","https://codes.ohio.gov/ohio-revised-code/section-2917.12","a33e1ebaf086ca567ccae3dd4b308d4c05066ed8230c193d7d88c443550d9676","oh-illegal-camping","disturbing a lawful meeting","Resolve oh-illegal-camping: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
